run_id,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_l2,joint_l0,joint_loss,joint_decomp,solo_l2,solo_l0,solo_loss,seq_meta_l2,seq_meta_l0,seq_meta_loss,joint_meta_l2_approx
l2_0.01_s2_0.1_md_1800_pt_bat_mt_bat_ebdd57,0.01,0.1,1800,batchtopk,batchtopk,0.040692154318094254,64.0,0.04197876155376434,0.0015034913085401058,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.649996533637042
l2_0.1_s2_1.0_md_1800_pt_jum_mt_jum_a5f3d5,0.1,1.0,1800,jumprelu,jumprelu,0.06164712831377983,35.551513671875,0.1135394275188446,0.43704864382743835,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.8277107769751247
l2_0.0_s2_1.0_md_1800_pt_jum_mt_jum_dbdce5,0.0,1.0,1800,jumprelu,jumprelu,0.05864974483847618,31.492431640625,0.06546895205974579,0.5758843421936035,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.5518484332509929
l2_0.0_s2_1.0_md_1800_pt_bat_mt_bat_6c7192,0.0,1.0,1800,batchtopk,batchtopk,0.040579259395599365,64.0,0.04184732958674431,0.5009725689888,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.6912039319136112
l2_0.1_s2_0.1_md_1800_pt_jum_mt_jum_98f987,0.1,0.1,1800,jumprelu,jumprelu,0.05959855392575264,31.66943359375,0.06651784479618073,0.0020001339726150036,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.6214541114358173
l2_1.0_s2_0.1_md_1800_pt_jum_mt_jum_5697ad,1.0,0.1,1800,jumprelu,jumprelu,0.06123844534158707,33.665283203125,0.06961177289485931,0.0004963621613569558,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.760820473365329
l2_1.0_s2_1.0_md_1800_pt_bat_mt_bat_9e010c,1.0,1.0,1800,batchtopk,batchtopk,0.05238102003931999,64.0,0.44114455580711365,0.3871266543865204,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.9490033671776682
l2_0.01_s2_0.1_md_1800_pt_jum_mt_jum_ac41f4,0.01,0.1,1800,jumprelu,jumprelu,0.059117306023836136,31.887939453125,0.06601746380329132,0.005549028981477022,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.519413232482321
l2_1.0_s2_0.1_md_1800_pt_bat_mt_bat_0faa81,1.0,0.1,1800,batchtopk,batchtopk,0.04106365516781807,64.0,0.04299657791852951,0.0006497084395959973,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.7338986850172937
l2_0.1_s2_1.0_md_1800_pt_bat_mt_bat_018fb0,0.1,1.0,1800,batchtopk,batchtopk,0.043308086693286896,64.0,0.08730362355709076,0.4264221787452698,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.8523253935402402
l2_0.0_s2_0.1_md_1800_pt_bat_mt_bat_2c14bf,0.0,0.1,1800,batchtopk,batchtopk,0.040579259395599365,64.0,0.04184732958674431,0.0015253740129992366,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.6485515644566984
l2_0.1_s2_0.1_md_1800_pt_bat_mt_bat_ce2fc1,0.1,0.1,1800,batchtopk,batchtopk,0.040624141693115234,64.0,0.04201040044426918,0.0011680037714540958,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.6752459165596645
l2_0.01_s2_1.0_md_1800_pt_bat_mt_bat_b7af51,0.01,1.0,1800,batchtopk,batchtopk,0.04078730568289757,64.0,0.046829208731651306,0.47673463821411133,0.042117681354284286,64.0,0.043433818966150284,0.6901599168777466,8.0,0.6901599168777466,0.7407952569103907
l2_0.0_s2_0.1_md_1800_pt_jum_mt_jum_f3ac92,0.0,0.1,1800,jumprelu,jumprelu,0.05864974483847618,31.492431640625,0.06546895205974579,0.006050935480743647,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.5107542393976282
l2_0.01_s2_1.0_md_1800_pt_jum_mt_jum_572a7e,0.01,1.0,1800,jumprelu,jumprelu,0.058983903378248215,31.85302734375,0.07138857245445251,0.539327085018158,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.617433055355734
l2_1.0_s2_1.0_md_1800_pt_jum_mt_jum_cae2a8,1.0,1.0,1800,jumprelu,jumprelu,0.06449063122272491,36.949951171875,0.4791748821735382,0.40357622504234314,0.060919053852558136,31.258544921875,0.06768760085105896,0.4707408845424652,48.61376953125,0.49058499932289124,0.9073898994668625
