run_id,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_l2,joint_l0,joint_loss,joint_decomp,solo_l2,solo_l0,solo_loss,seq_meta_l2,seq_meta_l0,seq_meta_loss,joint_meta_l2_approx,l2_degradation,l2_degradation_pct,is_pareto_joint,norm_joint_l2,norm_seq_meta_l2,composite_score,composite_recon,composite_decomp
l2_0.01_s2_0.01_md_512_pt_bat_mt_jum_fbce0d,0.01,0.01,512,batchtopk,jumprelu,0.0807,32.0,0.0833,0.0018,0.0809,32.0,0.0834,0.1204,450.8,0.1204,0.06319968614080018,-0.00020000000000000573,-0.2472187886279428,False,0.015773524862082996,0.0,0.9842264751379171,0.6889585325965419,0.2952679425413751
l2_0.1_s2_0.1_md_2048_pt_bat_mt_bat_76772f,0.1,0.1,2048,batchtopk,batchtopk,0.08132288604974747,32.0,0.08447744697332382,0.0061346678994596004,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.5093799334401883,0.0004530176520347595,0.5601810179866356,False,0.04806410658991303,0.6733021532998182,1.6252380467099052,0.8683457713770063,0.7568922753328988
l2_0.001_s2_1.0_md_2048_pt_bat_mt_bat_0159e0,0.001,1.0,2048,batchtopk,batchtopk,0.0806,32.0,0.0837,0.596,0.0809,32.0,0.0834,0.5123,4.0,0.5123,0.5175146119167874,-0.0002999999999999947,-0.37082818294189707,False,0.010589497744937325,0.6733581477717356,1.6627686500267984,0.8945947959100644,0.7681738541167337
l2_0.01_s2_1.0_md_2048_pt_bat_mt_bat_e3e1ca,0.01,1.0,2048,batchtopk,batchtopk,0.08087770640850067,32.0,0.08907736092805862,0.5672470331192017,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.5669603856237412,7.838010787963867e-06,0.009692127541765055,False,0.02498587326766479,0.6733021532998182,1.6483162800321534,0.88450053470258,0.7638157453295733
l2_0.0_s2_0.01_md_512_pt_bat_mt_bat_fb731c,0.0,0.01,512,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,False,0.015773524862082996,0.9999858178187043,1.9842122929566215,0.9889542779421532,0.9952580150144681
l2_0.0_s2_0.01_md_1024_pt_bat_mt_bat_6a5abc,0.0,0.01,1024,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.6192,4.0,0.6192,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,False,0.015773524862082996,0.85703251877658,1.8412589939144972,0.9460682882295159,0.8951907056849812
l2_0.1_s2_0.1_md_2048_pt_bat_mt_jum_e8712d,0.1,0.1,2048,batchtopk,jumprelu,0.09696396440267563,32.0,0.1995706856250763,0.9957698583602905,0.08086986839771271,32.0,0.08339682221412659,0.39769870042800903,19.306316375732422,0.39769870042800903,0.0004239114000700449,0.01609409600496292,19.901226901734542,False,0.8589018498197997,0.47645149094083583,0.6175496411210362,0.24170415240839097,0.37584548871264517
l2_0.0_s2_0.1_md_512_pt_bat_mt_jum_7515f2,0.0,0.1,512,batchtopk,jumprelu,0.0807,32.0,0.0832,0.374,0.0809,32.0,0.0834,0.1204,450.8,0.1204,0.09834994815676051,-0.00020000000000000573,-0.2472187886279428,False,0.015773524862082996,0.0,0.9842264751379171,0.6889585325965419,0.2952679425413751
l2_0.01_s2_1.0_md_512_pt_bat_mt_bat_242d85,0.01,1.0,512,batchtopk,batchtopk,0.08071994036436081,32.0,0.0880427211523056,0.4800572395324707,0.08086986839771271,32.0,0.08339682221412659,0.7024082541465759,4.0,0.7024082541465759,0.7338499331638197,-0.0001499280333518982,-0.18539418490773593,True,0.01680723875780543,1.0,1.9831927612421945,0.9882349328695361,0.9949578283726583
l2_0.1_s2_0.01_md_2048_pt_bat_mt_jum_44a5c7,0.1,0.01,2048,batchtopk,jumprelu,0.08054731041193008,32.0,0.08306427299976349,1.093687842512736e-06,0.08086986839771271,32.0,0.08339682221412659,0.39769870042800903,19.306316375732422,0.39769870042800903,0.137259552305921,-0.0003225579857826233,-0.398860530100413,False,0.007858055211479984,0.47645149094083583,1.468593435729356,0.8374348086342147,0.631158627095141
l2_0.01_s2_0.01_md_2048_pt_bat_mt_bat_f84a06,0.01,0.01,2048,batchtopk,batchtopk,0.08072224259376526,32.0,0.08325023204088211,0.0005610249354504049,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.0748574520521118,-0.00014762580394744873,-0.1825473527685673,False,0.016926586954431003,0.6733021532998182,1.6563755663453872,0.8901420351218436,0.7662335312235434
l2_0.001_s2_1.0_md_2048_pt_bat_mt_jum_bb1b7f,0.001,1.0,2048,batchtopk,jumprelu,0.0805,32.0,0.0838,0.7488,0.0809,32.0,0.0834,0.3977,19.3,0.3977,0.28928335381875475,-0.0003999999999999976,-0.49443757725586845,False,0.0054054706277909354,0.4764537238507331,1.471048253222942,0.8391522877157662,0.6318959655071759
l2_0.01_s2_0.1_md_512_pt_bat_mt_jum_983cfd,0.01,0.1,512,batchtopk,jumprelu,0.08138050138950348,32.0,0.08539678156375885,0.14734062552452087,0.08086986839771271,32.0,0.08339682221412659,0.12042949348688126,450.78118896484375,0.12042949348688126,0.19150081922870388,0.0005106329917907715,0.631425525857804,False,0.05105090142650063,5.0675375600145995e-05,0.9489997739490995,0.6642795716141296,0.2847202023349699
l2_0.1_s2_0.01_md_512_pt_bat_mt_bat_d39d23,0.1,0.01,512,batchtopk,batchtopk,0.08075128495693207,32.0,0.08327452838420868,1.695888980461635e-12,0.08086986839771271,32.0,0.08339682221412659,0.7024082541465759,4.0,0.7024082541465759,0.23025850929940458,-0.00011858344078063965,-0.14663488778966977,False,0.018432150936458478,1.0,1.9815678490635416,0.987097494344479,0.9944703547190624
l2_0.001_s2_0.1_md_2048_pt_bat_mt_bat_289373,0.001,0.1,2048,batchtopk,batchtopk,0.0807,32.0,0.0833,0.0129,0.0809,32.0,0.0834,0.5123,4.0,0.5123,0.4350527967614511,-0.00020000000000000573,-0.2472187886279428,False,0.015773524862082996,0.6733581477717356,1.6575846229096527,0.8909659769280627,0.76661864598159
l2_0.01_s2_0.01_md_1024_pt_bat_mt_jum_0bce57,0.01,0.01,1024,batchtopk,jumprelu,0.08363872021436691,32.0,0.08841846883296967,0.2166370451450348,0.08086986839771271,32.0,0.08339682221412659,0.4195420444011688,35.80712890625,0.4195420444011688,0.015295319288220966,0.0027688518166542053,3.423836184618446,False,0.16811757767192223,0.5139824775162576,1.3458648998443352,0.7365124388845317,0.6093524609598036
l2_0.01_s2_0.01_md_2048_pt_bat_mt_jum_bcbfb5,0.01,0.01,2048,batchtopk,jumprelu,0.08039572834968567,32.0,0.08290787041187286,3.1270525369109237e-07,0.08086986839771271,32.0,0.08339682221412659,0.39769870042800903,19.306316375732422,0.39769870042800903,0.14978004771564934,-0.0004741400480270386,-0.5863000118848332,True,0.0,0.47645149094083583,1.476451490940836,0.8429354472822507,0.633516043658585
