run_id,status,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_loss,joint_l0,joint_l2,joint_decomp,solo_loss,solo_l0,solo_l2,solo_l1,solo_dead,meta_loss,meta_l0,meta_l2
l2_0.0_s2_0.01_md_512_pt_bat_mt_jum_79761c,success,0.0,0.01,512,batchtopk,jumprelu,0.0832,32.0,0.0807,0.0046,0.0834,32.0,0.0809,0.0,26,0.1204,450.8,0.1204
l2_0.0_s2_0.01_md_512_pt_jum_mt_bat_691378,success,0.0,0.01,512,jumprelu,batchtopk,0.009,624.6,0.009,0.0,0.0089,626.2,0.0089,0.0,0,0.5961,4.0,0.5961
l2_0.0_s2_0.01_md_512_pt_jum_mt_jum_90e980,success,0.0,0.01,512,jumprelu,jumprelu,0.009,624.6,0.009,0.6943,0.0089,626.2,0.0089,0.0,0,0.3564,29.1,0.3564
l2_0.0_s2_0.1_md_1024_pt_bat_mt_bat_a2861e,success,0.0,0.1,1024,batchtopk,batchtopk,0.0832,32.0,0.0807,0.0041,0.0834,32.0,0.0809,0.0,26,0.6192,4.0,0.6192
l2_0.0_s2_0.1_md_1024_pt_bat_mt_jum_222043,success,0.0,0.1,1024,batchtopk,jumprelu,0.0832,32.0,0.0807,0.8402,0.0834,32.0,0.0809,0.0,26,0.4195,35.8,0.4195
l2_0.0_s2_0.1_md_1024_pt_jum_mt_bat_5412d5,success,0.0,0.1,1024,jumprelu,batchtopk,0.009,624.6,0.009,0.0141,0.0089,626.2,0.0089,0.0,0,0.5245,4.0,0.5245
l2_0.0_s2_0.1_md_1024_pt_jum_mt_jum_95d1f5,success,0.0,0.1,1024,jumprelu,jumprelu,0.009,624.6,0.009,0.9091,0.0089,626.2,0.0089,0.0,0,0.4018,18.2,0.4018
l2_0.0_s2_0.1_md_2048_pt_bat_mt_bat_f70e27,success,0.0,0.1,2048,batchtopk,batchtopk,0.0832,32.0,0.0807,0.0119,0.0834,32.0,0.0809,0.0,26,0.5123,4.0,0.5123
l2_0.0_s2_0.1_md_2048_pt_bat_mt_jum_82aabc,success,0.0,0.1,2048,batchtopk,jumprelu,0.0832,32.0,0.0807,0.0545,0.0834,32.0,0.0809,0.0,26,0.3977,19.3,0.3977
l2_0.0_s2_0.1_md_2048_pt_jum_mt_bat_e662a1,success,0.0,0.1,2048,jumprelu,batchtopk,0.009,624.6,0.009,0.0328,0.0089,626.2,0.0089,0.0,0,0.4309,4.0,0.4309
