lambda2,sigma_sq,meta_dict_size,joint_l2,solo_l2,joint_decomp,hung_cosine_mean,hung_cosine_median,hung_cosine_std,hung_l2_mean,hung_l2_median,hung_frac_above_0.9,hung_frac_above_0.95,hung_frac_above_0.99,solo_cosine_mean,solo_cosine_median,solo_cosine_std,solo_l2_mean,solo_l2_median,solo_frac_above_0.9,solo_frac_above_0.95,solo_frac_above_0.99,solo_orphan_count,solo_unique_targets,join_cosine_mean,join_cosine_median,join_cosine_std,join_l2_mean,join_l2_median,join_frac_above_0.9,join_frac_above_0.95,join_frac_above_0.99,join_orphan_count,join_unique_targets,dead_both,dead_solo_only,dead_joint_only
0.01,0.1,512,0.08058799803256989,0.08086986839771271,0.0018213939620181918,0.73266035,0.81008995,0.23165935,0.6553777,0.6163127,0.3301595052083333,0.171875,0.016845703125,0.763196,0.8134666,0.18932223,0.62509996,0.6108042,0.3304036458333333,0.171875,0.016845703125,2021,10267,0.76334786,0.8135232,0.18883069,0.62499946,0.6107229,0.330322265625,0.171875,0.016845703125,2049,10239,0,0,0
0.01,0.1,2048,0.08047648519277573,0.08086986839771271,0.017832286655902863,0.7396639,0.8209152,0.23172663,0.6444407,0.5984976,0.3435872395833333,0.182861328125,0.0185546875,0.7698772,0.8233846,0.18825756,0.614532,0.59435546,0.3438313802083333,0.182861328125,0.0185546875,1971,10317,0.76929235,0.8232564,0.18893263,0.61518776,0.59457207,0.3438313802083333,0.182861328125,0.0185546875,1941,10347,0,0,0
0.1,1.0,512,0.08358451724052429,0.08086986839771271,0.4266599118709564,0.6504922,0.6868659,0.22264175,0.787113,0.7914022,0.12833658854166666,0.055908203125,0.0038248697916666665,0.6855447,0.6958015,0.1781266,0.7539144,0.78003037,0.12849934895833334,0.055908203125,0.0038248697916666665,2276,10012,0.67541957,0.6917939,0.18829437,0.764219,0.7851438,0.12849934895833334,0.055908203125,0.0038248697916666665,1947,10341,0,0,0
0.01,1.0,1024,0.08080221712589264,0.08086986839771271,0.5168215036392212,0.72482413,0.7982593,0.2307782,0.6709226,0.6352253,0.2957356770833333,0.148681640625,0.009114583333333334,0.75604916,0.8026322,0.18721691,0.6401655,0.62830716,0.2958984375,0.148681640625,0.009114583333333334,2022,10266,0.75383073,0.8023777,0.18903121,0.6426862,0.6287119,0.2958170572916667,0.148681640625,0.009114583333333334,1942,10346,0,0,0
0.0,0.1,2048,0.0807,0.0809,0.0119,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
0.001,1.0,512,0.0807,0.0809,0.4972,0.73639363,0.81807464,0.23233682,0.6498165,0.603227,0.3340657552083333,0.17472330729166666,0.015869140625,0.76716876,0.82036054,0.1882465,0.6194497,0.599414,0.3343098958333333,0.17488606770833334,0.015869140625,1958,10330,0.7665717,0.8203296,0.18894443,0.62010646,0.59947366,0.3343098958333333,0.17488606770833334,0.015869140625,1973,10315,0,0,0
0.001,0.1,1024,0.0805,0.0809,0.0041,0.7388784,0.8208475,0.23124318,0.64523935,0.5986128,0.3406575520833333,0.18391927083333334,0.019856770833333332,0.7690347,0.8245392,0.18874936,0.61520237,0.59240186,0.3414713541666667,0.18400065104166666,0.019856770833333332,1996,10292,0.76892376,0.8245524,0.18876843,0.615352,0.5923883,0.3413899739583333,0.18400065104166666,0.019856770833333332,1955,10333,0,0,0
0.1,0.01,1024,0.08053386211395264,0.08086986839771271,2.1311072373464413e-07,0.73516864,0.8162118,0.23327473,0.6513099,0.60629654,0.3365885416666667,0.17757161458333334,0.011881510416666666,0.76610404,0.81929886,0.18890558,0.62087566,0.6011901,0.3370768229166667,0.17757161458333334,0.011881510416666666,1973,10315,0.76640445,0.8194088,0.18840589,0.62057465,0.6010014,0.3370768229166667,0.17757161458333334,0.011881510416666666,1997,10291,0,0,0
0.01,0.1,1024,0.08064699918031693,0.08086986839771271,0.003915349021553993,0.73652107,0.81559676,0.2313309,0.64982253,0.6073148,0.3382975260416667,0.177978515625,0.013997395833333334,0.76708937,0.81857467,0.18787727,0.61953014,0.6023919,0.3387858072916667,0.177978515625,0.013997395833333334,2007,10281,0.76738197,0.8184175,0.1876557,0.61919826,0.60264635,0.3387044270833333,0.177978515625,0.013997395833333334,2026,10262,0,0,0
0.0,1.0,1024,0.0807,0.0809,0.5412,0.7366443,0.8192059,0.23261638,0.6494289,0.60133994,0.34033203125,0.17513020833333334,0.011555989583333334,0.7671941,0.82169795,0.18853617,0.6193526,0.5971829,0.3409016927083333,0.17513020833333334,0.011555989583333334,2002,10286,0.7674441,0.8217912,0.18800923,0.6191328,0.59703004,0.3408203125,0.17513020833333334,0.011555989583333334,1994,10294,0,0,0
